Tiempo (ms),g_Na (mS/cm^2),g_K (mS/cm^2)
0.0,0.009000000000000001,0.37748736
0.005000500050005001,0.000983068156657088,0.37537300230325255
0.010001000100010001,0.00010734549386740145,0.3732703448546534
0.015001500150015001,1.1744406621459619e-05,0.37117930932906384
0.020002000200020003,1.293627656066902e-06,0.36909983415118214
0.025002500250025005,1.4211594573620232e-07,0.36703185989624226
0.030003000300030003,1.5742605995898366e-08,0.3649753275633468
0.03500350035003501,1.7968884104594833e-09,0.36293017839102837
0.040004000400040006,2.1314614038473468e-10,0.3608963538411086
0.045004500450045004,2.7131038260859264e-11,0.3588737955973883
0.05000500050005001,4.227733654680658e-12,0.35686244556592916
0.05500550055005501,7.88897452197021e-13,0.3548622458755528
0.060006000600060005,2.398850398883815e-13,0.3528731388783015
0.06500650065006501,9.330329367774438e-14,0.3508950671499118
0.07000700070007002,5.697727813923864e-14,0.3489279734901813
0.075007500750075,4.581603151331129e-14,0.3469718009234551
0.08000800080008001,3.530370070600382e-14,0.3450264926988942
0.08500850085008502,3.372761990353315e-14,0.34309199229078075
0.09000900090009001,3.6666238206569235e-14,0.3411682433990495
0.09500950095009501,3.265824480502883e-14,0.33925518994935294
0.10001000100010002,2.8251940476473473e-14,0.33735277609324876
0.10501050105010501,2.960078317228678e-14,0.3354609462085388
0.11001100110011001,3.6190280883461725e-14,0.33357964489981273
0.11501150115011502,3.944284978023943e-14,0.33170881699817356
0.12001200120012001,2.8751941141973343e-14,0.32984840756140626
0.12501250125012503,2.1469672638762818e-14,0.32799836187414405
0.13001300130013002,2.5558447628041215e-14,0.32615862544815977
0.135013501350135,4.190554519647839e-14,0.3243291440226703
0.14001400140014003,5.431382676293442e-14,0.3225098635639573
0.14501450145014502,3.5833781692268855e-14,0.3207007302652791
0.15001500150015,2.481955660215896e-14,0.3189016905473308
0.15501550155015503,3.12839959566958e-14,0.31711269105809303
0.16001600160016002,4.984248479659749e-14,0.31533367867297585
0.16501650165016502,4.3245900127715424e-14,0.31356460049443974
0.17001700170017003,2.7622009537375076e-14,0.31180540385210825
0.17501750175017503,2.7630105615335902e-14,0.31005603630264644
0.18001800180018002,4.2710810172751515e-14,0.3083164456299353
0.18501850185018504,4.941840121657562e-14,0.306586579844675
0.19001900190019003,3.034593191298732e-14,0.3048663871842438
0.19501950195019502,2.3223891475904254e-14,0.30315581611256165
0.20002000200020004,3.3586977586540645e-14,0.301454815320145
0.20502050205020503,5.4979118917117885e-14,0.2997633337238827
0.21002100210021002,4.3371367205438674e-14,0.2980813204665526
0.21502150215021504,2.3143788988216695e-14,0.29640872491681625
0.22002200220022003,2.3244598302309005e-14,0.29474549666889927
0.22502250225022502,4.5313860485188935e-14,0.2930915855426316
0.23002300230023004,6.530758361947712e-14,0.29144694158293494
0.23502350235023503,3.5879324713311383e-14,0.2898115150594439
0.24002400240024002,2.205958473645974e-14,0.28818525646639237
0.24502450245024504,3.263490866743987e-14,0.28656811652233266
0.25002500250025006,6.229194849972138e-14,0.2849600461698927
0.255025502550255,5.031060610858027e-14,0.28336099657518804
0.26002600260026004,2.8525218968680665e-14,0.2817709191276252
0.26502650265026506,2.959399675762928e-14,0.28018976543952556
0.27002700270027,5.026319105128173e-14,0.2786174873459269
0.27502750275027504,5.241655189851494e-14,0.2770540369039884
0.28002800280028006,3.240647965305148e-14,0.2754993663926336
0.285028502850285,2.883896242129241e-14,0.27395342831214803
0.29002900290029004,4.259059644312e-14,0.2724161753839421
0.29502950295029506,5.3482683943913794e-14,0.2708875605499891
0.3000300030003,3.495099706951467e-14,0.2693675369723136
0.30503050305030505,2.626979000837469e-14,0.26785605803260537
0.31003100310031007,3.492206106444672e-14,0.2663530773318605
0.31503150315031503,5.467680509007777e-14,0.26485854868993924
0.32003200320032005,4.5328153599122786e-14,0.26337242614488166
0.32503250325032507,2.5583210336492522e-14,0.2618946639525549
0.33003300330033003,2.495236951340013e-14,0.2604252165860949
0.33503350335033505,4.547243843308159e-14,0.25896403873561813
0.34003400340034007,6.682741989342974e-14,0.25751108530753863
0.34503450345034503,3.854832779766147e-14,0.2560663114239534
0.35003500350035005,2.2058400307617658e-14,0.2546296724222518
0.35503550355035507,3.07546419700681e-14,0.2532011238545737
0.36003600360036003,6.377159197219251e-14,0.2517806214873585
0.36503650365036505,6.13444342849918e-14,0.25036812130059516
0.37003700370037007,3.1514452961350255e-14,0.2489635794873414
0.37503750375037503,2.7766364097623092e-14,0.24756695245315338
0.38003800380038005,4.920531508088059e-14,0.24617819681563816
0.38503850385038507,6.50542566682297e-14,0.244797269403759
0.39003900390039004,3.92449858910001e-14,0.24342412725719978
0.39503950395039505,3.011375636502174e-14,0.24205872762583275
0.4000400040004001,4.188352211127731e-14,0.2407010279691842
0.40504050405040504,5.876268848607047e-14,0.23935098595580698
0.41004100410041006,4.15206680810691e-14,0.2380085594625626
0.4150415041504151,2.990546125657966e-14,0.23667370657407655
0.42004200420042004,3.61010865649631e-14,0.23534638558213922
0.42504250425042506,5.470026266867105e-14,0.23402655498514052
0.4300430043004301,4.8737789379266605e-14,0.23271417348728643
0.43504350435043504,2.954017184387951e-14,0.2314091999980349
0.44004400440044006,2.778384838888642e-14,0.2301115936314115
0.4450445044504451,4.577590356545567e-14,0.2288213137055173
0.45004500450045004,6.61584585695032e-14,0.2275383197417661
0.45504550455045506,4.1172428649784804e-14,0.2262625714641493
0.4600460046004601,2.3345846932893186e-14,0.22499402879867472
0.46504650465046504,2.996768233369881e-14,0.22373265187268765
0.47004700470047006,6.24313179571519e-14,0.22247840101429434
0.4750475047504751,7.152402785852526e-14,0.22123123675154438
0.48004800480048004,3.5337101160843155e-14,0.2199911198117814
0.48504850485048506,2.5679465062900316e-14,0.21875801112098503
0.4900490049004901,4.494253529456555e-14,0.21753187180315944
0.4950495049504951,7.713580882516674e-14,0.21631266317961206
0.5000500050005001,5.062813931203332e-14,0.21510034676817125
0.5050505050505051,3.1921620155357083e-14,0.21389488428257805
0.51005100510051,3.9133260421951544e-14,0.2126962376317878
0.5150515051505151,6.30554000702038e-14,0.21150436891931929
0.5200520052005201,5.254069006476646e-14,0.2103192404424498
0.525052505250525,3.490361316291138e-14,0.20914081469156098
0.5300530053005301,3.646256879184886e-14,0.2079690543494283
0.5350535053505351,5.414087252087269e-14,0.20680392229058972
0.54005400540054,5.542889536399623e-14,0.20564538158053686
0.5450545054505451,3.5789094418623343e-14,0.2044933954750253
0.5500550055005501,3.111151664304704e-14,0.20334792741934057
0.555055505550555,4.5160789883124587e-14,0.20220894104768497
0.5600560056005601,6.499475953621106e-14,0.2010764001824063
0.5650565056505651,4.609088285394976e-14,0.19995026883320458
0.57005700570057,2.6939741207824168e-14,0.19883051119648237
0.5750575057505751,3.033116054960139e-14,0.19771709165459964
0.5800580058005801,5.822280996833585e-14,0.19660997477523873
0.585058505850585,7.800650051477113e-14,0.19550912531057948
0.5900590059005901,4.121417030554177e-14,0.19441450819655587
0.5950595059505951,2.4685121687099633e-14,0.19332608855218064
0.6000600060006,3.795741790234923e-14,0.1922438316788294
0.6050605060506051,7.903754392562201e-14,0.19116770305953598
0.6100610061006101,6.974783910526045e-14,0.19009766835816924
0.6150615061506151,3.641941262385745e-14,0.18903369341875165
0.6200620062006201,3.413029830320041e-14,0.18797574426472075
0.6250625062506251,6.002901962197264e-14,0.18692378709825525
0.6300630063006301,7.211009178629493e-14,0.18587778829947893
0.6350635063506351,4.4572741663229977e-14,0.18483771442571914
0.6400640064006401,3.667247881597962e-14,0.18380353221078996
0.6450645064506451,5.0750853461601803e-14,0.18277520856430102
0.6500650065006501,6.570418351858358e-14,0.18175271057089534
0.6550655065506551,4.618277629615318e-14,0.18073600548947694
0.6600660066006601,3.5403849027305645e-14,0.1797250607525027
0.6650665066506651,4.340304225539793e-14,0.1787198439652709
0.6700670067006701,6.311859544035104e-14,0.17772032290520268
0.6750675067506751,5.499415590203756e-14,0.17672646552103688
0.6800680068006801,3.394825174471821e-14,0.175738239932137
0.6850685068506851,3.205162068877381e-14,0.17475561442773088
0.6900690069006901,5.222314981032036e-14,0.1737785574662573
0.6950695069506951,7.763754221332967e-14,0.17280703767457606
0.7000700070007001,5.102180041636611e-14,0.1718410238471908
0.7050705070507051,2.7167262555163535e-14,0.17088048494557376
0.7100710071007101,3.163646403159975e-14,0.16992539009741198
0.7150715071507151,6.758275102658671e-14,0.16897570859593491
0.7200720072007201,9.307588574129375e-14,0.16803140989911453
0.7250725072507251,4.8259874672972756e-14,0.16709246362892427
0.7300730073007301,3.020062062483854e-14,0.16615883957064848
0.7350735073507351,4.633226405998668e-14,0.16523050767215813
0.7400740074007401,8.696002240083054e-14,0.16430743804319298
0.7450745074507451,6.763588881403316e-14,0.16338960095457722
0.7500750075007501,4.1064565067163355e-14,0.16247696683752955
0.7550755075507551,4.348757326867653e-14,0.16156950628293335
0.7600760076007601,6.785275580679599e-14,0.160667190040645
0.7650765076507651,6.541811230252758e-14,0.15976998901871967
0.7700770077007701,4.427478698317033e-14,0.15887787428270383
0.7750775077507751,4.1828084095947197e-14,0.15799081705490992
0.7800780078007801,5.78944762548649e-14,0.15710878871373807
0.7850785078507851,6.740227773127944e-14,0.15623176079291803
0.7900790079007901,4.6337366865542655e-14,0.15535970498078336
0.7950795079507951,3.6352048129105015e-14,0.1544925931195588
0.8000800080008001,4.642622717252909e-14,0.15363039720467597
0.8050805080508051,7.082005792864097e-14,0.15277308938406226
0.8100810081008101,6.527924060344205e-14,0.15192064195737628
0.8150815081508151,3.625641132234348e-14,0.15107302737532935
0.8200820082008201,3.00511940694008e-14,0.15023021823895394
0.8250825082508251,5.140231439497777e-14,0.14939218729895085
0.8300830083008301,9.227391912327074e-14,0.1485589074549551
0.8350835083508351,7.178654043279819e-14,0.14773035175478746
0.8400840084008401,3.4088569973728744e-14,0.14690649339379372
0.8450845084508452,3.193569996558076e-14,0.14608730571412365
0.8500850085008501,6.681319096930375e-14,0.14527276220407276
0.8550855085508551,1.0689280341479238e-13,0.14446283649734787
0.8600860086008602,6.258153786115506e-14,0.14365750237234812
0.8650865086508651,3.9526171773775365e-14,0.14285673375150393
0.8700870087008701,5.173795315451247e-14,0.14206050470057946
0.8750875087508752,8.537587488190383e-14,0.1412687894279916
0.8800880088008801,6.902240352061753e-14,0.14048156228408423
0.8850885088508851,4.7035983120758895e-14,0.13969879776045996
0.8900890089008902,4.936219145479551e-14,0.13892047048929157
0.8950895089508951,6.965494963994186e-14,0.13814655524265942
0.9000900090009001,6.745822915586869e-14,0.13737702693183426
0.9050905090509052,4.756454055817558e-14,0.13661186060660702
0.9100910091009101,4.4169554898637666e-14,0.1358510314546022
0.9150915091509151,5.965052645449886e-14,0.13509451480063564
0.9200920092009202,7.627965900320832e-14,0.13434228610601456
0.9250925092509251,5.5091805803517226e-14,0.133594320967846
0.9300930093009301,3.6859070848140114e-14,0.13285059511838468
0.9350935093509352,4.152793270331117e-14,0.13211108442436062
0.9400940094009401,7.052345801780763e-14,0.13137576488634042
0.9450945094509451,9.291035819731328e-14,0.1306446126380251
0.9500950095009502,5.393496198823964e-14,0.12991760394557886
0.9550955095509551,3.010628270192816e-14,0.12919471520699186
0.9600960096009601,3.960165894735518e-14,0.12847592295141622
0.9650965096509652,8.72526195223279e-14,0.12776120383852965
0.9700970097009701,1.13467495473542e-13,0.12705053465784602
